"11a7 -- Immigration and emigration by age (5-year), sex and area, 1990-2024"

"Area","Sex","Age","Information","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"WHOLE COUNTRY","Total","Total","Immigration to Finland",13558,19001,14554,14795,11611,12222,13294,13564,14192,14744,16895,18955,18112,17838,20333,21355,22451,26029,29114,26699,25636,29481,31278,31941,31507,28746,34905,31797,31106,32758,32898,36364,49998,73236,63965
"WHOLE COUNTRY","Total","Total","Emigration from Finland",6477,5984,6055,6405,8672,8957,10587,9854,10817,11966,14311,13153,12891,12083,13656,12369,12107,12443,13657,12151,11905,12660,13845,13893,15486,16305,18082,16973,19141,17263,15084,13459,15635,15322,16914
"WHOLE COUNTRY","Total","Total","Net migration",7081,13017,8499,8390,2939,3265,2707,3710,3375,2778,2584,5802,5221,5755,6677,8986,10344,13586,15457,14548,13731,16821,17433,18048,16021,12441,16823,14824,11965,15495,17814,22905,34363,57914,47051
"Akaa","Total","Total","Immigration to Finland",67,31,21,28,25,19,26,8,27,16,18,44,26,18,20,31,52,54,53,23,33,36,28,29,28,16,72,46,33,35,33,35,45,79,48
"Akaa","Total","Total","Emigration from Finland",28,22,35,17,20,17,23,14,20,15,13,24,21,18,14,14,27,17,3,37,9,17,16,17,12,12,12,29,11,41,16,10,18,23,11
"Akaa","Total","Total","Net migration",39,9,-14,11,5,2,3,-6,7,1,5,20,5,0,6,17,25,37,50,-14,24,19,12,12,16,4,60,17,22,-6,17,25,27,56,37
"Alajärvi","Total","Total","Immigration to Finland",24,34,11,13,15,8,9,17,11,10,6,11,12,9,19,13,22,27,25,48,58,57,49,59,45,11,27,31,33,57,55,44,55,129,78
"Alajärvi","Total","Total","Emigration from Finland",5,6,6,6,4,4,4,3,15,3,7,15,4,11,9,6,12,8,5,17,12,5,9,6,14,12,7,14,11,11,13,6,7,9,9
"Alajärvi","Total","Total","Net migration",19,28,5,7,11,4,5,14,-4,7,-1,-4,8,-2,10,7,10,19,20,31,46,52,40,53,31,-1,20,17,22,46,42,38,48,120,69
"Alavieska","Total","Total","Immigration to Finland",1,0,1,4,0,1,7,12,3,0,3,1,2,2,2,3,0,2,5,1,1,4,8,6,1,7,0,1,1,4,3,9,3,33,8
"Alavieska","Total","Total","Emigration from Finland",1,0,7,3,2,3,0,0,8,0,2,3,2,2,0,1,1,2,5,2,2,4,2,3,2,2,3,2,0,3,3,2,2,1,0
"Alavieska","Total","Total","Net migration",0,0,-6,1,-2,-2,7,12,-5,0,1,-2,0,0,2,2,-1,0,0,-1,-1,0,6,3,-1,5,-3,-1,1,1,0,7,1,32,8
"Alavus","Total","Total","Immigration to Finland",26,22,17,9,16,4,18,9,8,5,4,13,6,26,15,22,19,25,16,14,15,26,42,24,16,20,18,28,23,18,17,16,75,72,58
"Alavus","Total","Total","Emigration from Finland",2,29,1,16,5,7,20,8,6,11,12,6,17,23,17,24,15,5,11,8,10,11,11,15,7,9,9,4,16,14,8,11,9,6,5
"Alavus","Total","Total","Net migration",24,-7,16,-7,11,-3,-2,1,2,-6,-8,7,-11,3,-2,-2,4,20,5,6,5,15,31,9,9,11,9,24,7,4,9,5,66,66,53
"Asikkala","Total","Total","Immigration to Finland",8,31,15,4,8,26,6,7,17,7,8,17,12,14,23,12,17,13,20,27,20,14,16,21,13,25,164,86,21,15,23,28,20,52,22
"Asikkala","Total","Total","Emigration from Finland",3,5,7,7,9,11,5,12,6,8,15,23,9,12,10,8,9,3,7,8,11,6,12,8,17,20,9,13,15,10,9,7,20,5,5
"Asikkala","Total","Total","Net migration",5,26,8,-3,-1,15,1,-5,11,-1,-7,-6,3,2,13,4,8,10,13,19,9,8,4,13,-4,5,155,73,6,5,14,21,0,47,17
"Askola","Total","Total","Immigration to Finland",2,3,5,5,6,0,4,5,9,8,6,7,14,11,7,6,13,10,14,14,3,8,6,14,14,9,7,4,9,14,7,9,9,9,7
"Askola","Total","Total","Emigration from Finland",0,1,3,0,0,7,1,0,3,5,7,11,5,16,6,6,4,1,9,6,4,7,4,7,4,5,7,7,5,9,8,4,6,5,10
"Askola","Total","Total","Net migration",2,2,2,5,6,-7,3,5,6,3,-1,-4,9,-5,1,0,9,9,5,8,-1,1,2,7,10,4,0,-3,4,5,-1,5,3,4,-3
"Aura","Total","Total","Immigration to Finland",2,6,2,1,4,4,13,1,1,1,3,4,8,5,5,6,2,14,3,1,14,8,9,14,18,14,4,6,7,2,4,5,8,19,4
"Aura","Total","Total","Emigration from Finland",1,2,0,0,4,2,2,3,2,2,0,4,2,3,5,0,0,2,1,2,3,2,3,7,4,9,5,2,2,7,3,1,3,2,7
"Aura","Total","Total","Net migration",1,4,2,1,0,2,11,-2,-1,-1,3,0,6,2,0,6,2,12,2,-1,11,6,6,7,14,5,-1,4,5,-5,1,4,5,17,-3
"Brändö","Total","Total","Immigration to Finland",3,7,1,3,2,4,1,2,0,0,5,5,3,6,10,10,9,7,11,3,8,5,11,7,7,13,11,5,7,7,5,6,5,1,7
"Brändö","Total","Total","Emigration from Finland",3,3,4,4,3,0,1,1,1,3,1,3,2,0,2,3,2,1,6,9,8,2,8,8,8,7,5,4,4,5,1,1,1,1,3
"Brändö","Total","Total","Net migration",0,4,-3,-1,-1,4,0,1,-1,-3,4,2,1,6,8,7,7,6,5,-6,0,3,3,-1,-1,6,6,1,3,2,4,5,4,0,4
"Eckerö","Total","Total","Immigration to Finland",8,12,7,3,6,7,9,9,17,15,14,11,18,33,20,33,30,20,14,38,32,32,20,24,26,24,20,31,25,13,14,14,14,22,32
"Eckerö","Total","Total","Emigration from Finland",7,1,3,8,6,9,11,14,10,7,14,7,4,24,18,24,14,10,10,15,12,17,19,16,17,10,14,16,11,20,12,11,13,13,15
"Eckerö","Total","Total","Net migration",1,11,4,-5,0,-2,-2,-5,7,8,0,4,14,9,2,9,16,10,4,23,20,15,1,8,9,14,6,15,14,-7,2,3,1,9,17
"Enonkoski","Total","Total","Immigration to Finland",4,3,2,0,3,0,3,1,0,0,2,10,4,0,2,3,5,9,3,5,4,6,1,0,3,4,4,4,9,0,5,2,4,8,1
"Enonkoski","Total","Total","Emigration from Finland",2,2,0,3,0,8,3,0,2,5,1,4,0,1,1,3,0,1,1,4,0,2,0,1,2,5,2,3,2,4,0,2,0,2,4
"Enonkoski","Total","Total","Net migration",2,1,2,-3,3,-8,0,1,-2,-5,1,6,4,-1,1,0,5,8,2,1,4,4,1,-1,1,-1,2,1,7,-4,5,0,4,6,-3
"Enontekiö","Total","Total","Immigration to Finland",19,16,8,9,5,8,11,7,7,12,7,8,7,11,12,5,5,7,9,4,7,6,6,12,10,6,1,22,6,16,11,6,5,4,15
"Enontekiö","Total","Total","Emigration from Finland",3,6,7,15,15,15,15,10,9,12,8,14,11,16,11,7,3,4,9,2,9,6,6,2,13,3,8,5,6,12,5,7,9,8,3
"Enontekiö","Total","Total","Net migration",16,10,1,-6,-10,-7,-4,-3,-2,0,-1,-6,-4,-5,1,-2,2,3,0,2,-2,0,0,10,-3,3,-7,17,0,4,6,-1,-4,-4,12
